,MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
25899,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3.0,2.39,0.52,0.74,0.21,0.93,"96,690",0.11,0.18,0.44,0.52,0.6,0.48,0.12,0.08
25900,"Naples-Marco Island, FL",,,,,,,,,,,,,,,
25901,"Nashville-Davidson--Murfreesboro--Franklin, TN",3.0,2.49,0.51,0.72,0.22,0.92,"506,130",0.06,0.11,0.58,0.68,0.74,0.29,0.09,0.07
25902,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
25903,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
25904,"New Bern, NC",,,,,,,,,,,,,,,
25905,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
25906,"North Port-Sarasota-Bradenton, FL",4.0,2.31,0.54,0.75,0.19,0.94,"146,800",0.09,0.15,0.34,0.53,0.67,0.43,0.11,0.06
25907,"Oakland-Hayward-Berkeley, CA",,,,,,,,,,,,,,,
25908,"Ocala, FL",,,,,,,,,,,,,,,
25909,"Odessa, TX",,,,,,,,,,,,,,,
25910,"Ogden-Clearfield, UT",4.0,3.05,0.56,0.74,0.2,0.94,"175,372",0.07,0.11,0.49,0.69,0.78,0.23,0.08,0.06
25911,"Oklahoma City, OK",4.0,2.49,0.5,0.72,0.23,0.9,"355,303",0.08,0.15,0.61,0.65,0.67,0.35,0.12,0.1
25912,"Olympia-Lacey-Tumwater, WA",,,,,,,,,,,,,,,
25913,"Omaha-Council Bluffs, NE-IA",3.0,2.48,0.51,0.73,0.2,0.93,"230,593",0.09,0.12,0.56,0.7,0.74,0.3,0.07,0.07
25914,"Orlando-Kissimmee-Sanford, FL",4.0,2.67,0.47,0.7,0.25,0.91,"670,108",0.07,0.12,0.47,0.64,0.66,0.32,0.12,0.1
25915,"Oshkosh-Neenah, WI",,,,,,,,,,,,,,,
25916,"Oxnard-Thousand Oaks-Ventura, CA",4.0,2.96,0.49,0.7,0.26,0.85,"192,533",0.06,0.12,0.47,0.65,0.66,0.37,0.09,0.06
25917,"Palm Bay-Melbourne-Titusville, FL",4.0,2.4,0.49,0.72,0.25,0.94,"120,289",0.14,0.17,0.34,0.56,0.68,0.39,0.11,0.07
25918,"Panama City, FL",,,,,,,,,,,,,,,
25919,"Parkersburg-Vienna, WV",,,,,,,,,,,,,,,
25920,"Pensacola-Ferry Pass-Brent, FL",4.0,2.47,0.47,0.72,0.23,0.92,"112,676",0.16,0.17,0.38,0.61,0.66,0.39,0.13,0.11
25921,"Peoria, IL",,,,,,,,,,,,,,,
25922,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
25923,"Phoenix-Mesa-Chandler, AZ",4.0,2.61,0.49,0.73,0.23,0.89,"1,171,188",0.07,0.12,0.54,0.64,0.66,0.35,0.11,0.08
25924,"Pine Bluff, AR",,,,,,,,,,,,,,,
25925,"Pittsburgh, PA",3.0,2.23,0.49,0.71,0.23,0.95,"506,691",0.06,0.14,0.46,0.63,0.75,0.38,0.04,0.08
25926,"Portland-Vancouver-Hillsboro, OR-WA",4.0,2.47,0.49,0.73,0.22,0.93,"617,728",0.07,0.13,0.43,0.66,0.72,0.35,0.06,0.06
25927,"Port St. Lucie, FL",4.0,2.47,0.49,0.75,0.2,0.91,"92,503",0.1,0.14,0.34,0.55,0.61,0.44,0.12,0.07
25928,"Prescott, AZ",,,,,,,,,,,,,,,
25929,"Providence-Warwick, RI-MA",4.0,2.4,0.45,0.66,0.3,0.88,"388,957",0.05,0.14,0.41,0.65,0.69,0.41,0.04,0.08
25930,"Provo-Orem, UT",4.0,3.45,0.59,0.63,0.32,0.95,"189,110",0.03,0.09,0.6,0.71,0.82,0.17,0.08,0.05
25931,"Pueblo, CO",,,,,,,,,,,,,,,
25932,"Punta Gorda, FL",,,,,,,,,,,,,,,
25933,"Racine, WI",,,,,,,,,,,,,,,
25934,"Raleigh-Cary, NC",4.0,2.6,0.52,0.71,0.24,0.93,"369,122",0.06,0.11,0.55,0.68,0.77,0.25,0.09,0.07
25935,"Rapid City, SD",,,,,,,,,,,,,,,
25936,"Reading, PA",,,,,,,,,,,,,,,
25937,"Redding, CA",,,,,,,,,,,,,,,
25938,"Reno, NV",,,,,,,,,,,,,,,
25939,"Richmond, VA",4.0,2.47,0.47,0.73,0.22,0.91,"315,279",0.08,0.13,0.49,0.65,0.73,0.35,0.06,0.07
25940,"Riverside-San Bernardino-Ontario, CA",4.0,3.17,0.47,0.74,0.23,0.83,"1,128,235",0.05,0.12,0.46,0.61,0.58,0.42,0.09,0.1
25941,"Roanoke, VA",,,,,,,,,,,,,,,
25942,"Rochester, MN",,,,,,,,,,,,,,,
25943,"Rochester, NY",3.0,2.3,0.45,0.67,0.28,0.91,"244,974",0.06,0.14,0.37,0.63,0.71,0.4,0.04,0.08
25944,"Rockford, IL",,,,,,,,,,,,,,,
25945,"Rocky Mount, NC",,,,,,,,,,,,,,,
25946,"Rome, GA",,,,,,,,,,,,,,,
25947,"Sacramento-Roseville-Folsom, CA",4.0,2.7,0.49,0.68,0.27,0.9,"576,823",0.06,0.12,0.38,0.62,0.71,0.39,0.04,0.08
25948,"Saginaw, MI",,,,,,,,,,,,,,,
25949,"St. Cloud, MN",,,,,,,,,,,,,,,
25950,"St. George, UT",,,,,,,,,,,,,,,
25951,"St. Joseph, MO-KS",,,,,,,,,,,,,,,
25952,"St. Louis, MO-IL",3.0,2.41,0.48,0.71,0.22,0.93,"642,539",0.07,0.14,0.42,0.65,0.74,0.32,0.06,0.07
25953,"Salem, OR",,,,,,,,,,,,,,,
25954,"Salinas, CA",,,,,,,,,,,,,,,
25955,"Salisbury, MD-DE",,,,,,,,,,,,,,,
25956,"Salt Lake City, UT",4.0,2.81,0.51,0.72,0.23,0.92,"325,478",0.04,0.1,0.56,0.71,0.77,0.21,0.1,0.06
25957,"San Angelo, TX",,,,,,,,,,,,,,,
25958,"San Antonio-New Braunfels, TX",4.0,2.7,0.48,0.73,0.21,0.87,"643,444",0.11,0.15,0.57,0.65,0.63,0.33,0.16,0.1
25959,"San Diego-Chula Vista-Carlsbad, CA",4.0,2.75,0.47,0.64,0.32,0.88,"797,411",0.07,0.11,0.4,0.66,0.7,0.35,0.07,0.07
25960,"San Francisco-Redwood City-South San Francisco, CA",,,,,,,,,,,,,,,
25961,"San Jose-Sunnyvale-Santa Clara, CA",4.0,2.86,0.52,0.64,0.31,0.89,"469,632",0.03,0.09,0.46,0.67,0.77,0.28,0.04,0.05
25962,"San Rafael, CA",,,,,,,,,,,,,,,
25963,"Santa Cruz-Watsonville, CA",,,,,,,,,,,,,,,
25964,"Santa Maria-Santa Barbara, CA",,,,,,,,,,,,,,,
25965,"Santa Rosa-Petaluma, CA",4.0,2.51,0.49,0.69,0.26,0.89,"105,272",0.05,0.12,0.51,0.64,0.71,0.39,0.06,0.05
25966,"Savannah, GA",,,,,,,,,,,,,,,
25967,"Scranton--Wilkes-Barre, PA",4.0,2.35,0.46,0.73,0.23,0.91,"121,783",0.07,0.16,0.56,0.6,0.69,0.43,0.06,0.09
25968,"Seattle-Bellevue-Everett, WA",,,,,,,,,,,,,,,
25969,"Sebastian-Vero Beach, FL",,,,,,,,,,,,,,,
25970,"Sebring-Avon Park, FL",,,,,,,,,,,,,,,
25971,"Sheboygan, WI",,,,,,,,,,,,,,,
25972,"Sherman-Denison, TX",,,,,,,,,,,,,,,
25973,"Sierra Vista-Douglas, AZ",,,,,,,,,,,,,,,
25974,"Silver Spring-Frederick-Rockville, MD",,,,,,,,,,,,,,,
25975,"Sioux Falls, SD",,,,,,,,,,,,,,,
25976,"Spokane-Spokane Valley, WA",4.0,2.43,0.48,0.72,0.22,0.94,"137,062",0.1,0.16,0.39,0.61,0.64,0.45,0.05,0.08
25977,"Springfield, IL",,,,,,,,,,,,,,,
25978,"Springfield, MA",4.0,2.38,0.41,0.63,0.33,0.9,"170,335",0.06,0.16,0.38,0.59,0.68,0.45,0.03,0.1
25979,"Springfield, MO",,,,,,,,,,,,,,,
25980,"Springfield, OH",,,,,,,,,,,,,,,
25981,"State College, PA",,,,,,,,,,,,,,,
25982,"Staunton, VA",,,,,,,,,,,,,,,
25983,"Stockton, CA",4.0,3.2,0.47,0.76,0.19,0.79,"187,895",0.04,0.12,0.45,0.6,0.59,0.45,0.06,0.09
25984,"Syracuse, NY",4.0,2.32,0.45,0.63,0.33,0.92,"151,301",0.07,0.14,0.42,0.61,0.69,0.43,0.03,0.1
25985,"Tacoma-Lakewood, WA",,,,,,,,,,,,,,,
25986,"Tallahassee, FL",,,,,,,,,,,,,,,
25987,"Tampa-St. Petersburg-Clearwater, FL",4.0,2.42,0.47,0.71,0.24,0.91,"720,482",0.09,0.14,0.4,0.61,0.64,0.37,0.11,0.09
25988,"Texarkana, TX-AR",,,,,,,,,,,,,,,
25989,"The Villages, FL",,,,,,,,,,,,,,,
25990,"Toledo, OH",3.0,2.3,0.45,0.68,0.25,0.92,"149,306",0.06,0.15,0.38,0.64,0.71,0.39,0.05,0.1
25991,"Topeka, KS",,,,,,,,,,,,,,,
25992,"Trenton-Princeton, NJ",,,,,,,,,,,,,,,
25993,"Tucson, AZ",4.0,2.37,0.46,0.68,0.28,0.9,"239,465",0.1,0.15,0.42,0.59,0.63,0.43,0.09,0.1
25994,"Tulsa, OK",3.0,2.51,0.49,0.76,0.17,0.9,"236,269",0.07,0.16,0.59,0.63,0.64,0.36,0.14,0.1
25995,"Tuscaloosa, AL",,,,,,,,,,,,,,,
25996,"Tyler, TX",,,,,,,,,,,,,,,
25997,"Urban Honolulu, HI",4.0,2.85,0.51,0.63,0.31,0.93,"221,002",0.09,0.12,0.36,0.65,0.77,0.38,0.04,0.07
25998,"Utica-Rome, NY",,,,,,,,,,,,,,,
25999,"Valdosta, GA",,,,,,,,,,,,,,,
26000,"Vallejo, CA",,,,,,,,,,,,,,,
26001,"Victoria, TX",,,,,,,,,,,,,,,
26002,"Vineland-Bridgeton, NJ",,,,,,,,,,,,,,,
26003,"Virginia Beach-Norfolk-Newport News, VA-NC",4.0,2.41,0.48,0.7,0.26,0.93,"434,583",0.15,0.14,0.38,0.67,0.74,0.36,0.06,0.08
26004,"Visalia, CA",,,,,,,,,,,,,,,
26005,"Waco, TX",,,,,,,,,,,,,,,
26006,"Walla Walla, WA",,,,,,,,,,,,,,,
26007,"Warner Robins, GA",,,,,,,,,,,,,,,
26008,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
26009,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.0,2.62,0.49,0.68,0.26,0.92,"1,575,871",0.07,0.09,0.44,0.7,0.77,0.28,0.07,0.06
26010,"Waterloo-Cedar Falls, IA",,,,,,,,,,,,,,,
26011,"Wausau-Weston, WI",,,,,,,,,,,,,,,
26012,"Weirton-Steubenville, WV-OH",,,,,,,,,,,,,,,
26013,"West Palm Beach-Boca Raton-Delray Beach, FL",,,,,,,,,,,,,,,
26014,"Wheeling, WV-OH",,,,,,,,,,,,,,,
26015,"Wichita, KS",4.0,2.55,0.49,0.74,0.2,0.9,"147,653",0.07,0.14,0.51,0.65,0.69,0.33,0.1,0.08
26016,"Wichita Falls, TX",,,,,,,,,,,,,,,
26017,"Williamsport, PA",,,,,,,,,,,,,,,
26018,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
26019,"Wilmington, NC",,,,,,,,,,,,,,,
26020,"Winchester, VA-WV",,,,,,,,,,,,,,,
26021,"Winston-Salem, NC",4.0,2.44,0.49,0.72,0.23,0.89,"154,324",0.07,0.15,0.59,0.59,0.63,0.39,0.1,0.09
26022,"Yakima, WA",,,,,,,,,,,,,,,
26023,"York-Hanover, PA",,,,,,,,,,,,,,,
26024,"Youngstown-Warren-Boardman, OH-PA",3.0,2.26,0.47,0.74,0.2,0.92,"110,694",0.08,0.17,0.31,0.56,0.6,0.49,0.06,0.12
26025,"Yuba City, CA",,,,,,,,,,,,,,,
26026,"Yuma, AZ",,,,,,,,,,,,,,,
26027,"Abilene, TX",,,,,,,,,,,,,,,
26028,"Akron, OH",3.0,2.34,0.46,0.72,0.24,0.92,"160,665",0.06,0.14,0.4,0.63,0.68,0.4,0.06,0.09
26029,"Albany, GA",,,,,,,,,,,,,,,
26030,"Albany-Lebanon, OR",,,,,,,,,,,,,,,
26031,"Allentown-Bethlehem-Easton, PA-NJ",4.0,2.5,0.49,0.71,0.24,0.91,"191,596",0.06,0.13,0.42,0.64,0.72,0.37,0.06,0.08
26032,"Amarillo, TX",,,,,,,,,,,,,,,
26033,"Anaheim-Santa Ana-Irvine, CA",,,,,,,,,,,,,,,
26034,"Anchorage, AK",,,,,,,,,,,,,,,
26035,"Ann Arbor, MI",,,,,,,,,,,,,,,
26036,"Anniston-Oxford, AL",,,,,,,,,,,,,,,
26037,"Atlanta-Sandy Springs-Alpharetta, GA",4.0,2.66,0.48,0.72,0.22,0.91,"1,573,561",0.07,0.11,0.48,0.67,0.7,0.28,0.12,0.09
26038,"Atlantic City-Hammonton, NJ",,,,,,,,,,,,,,,
26039,"Augusta-Richmond County, GA-SC",4.0,2.69,0.44,0.72,0.22,0.89,"144,792",0.11,0.16,0.44,0.61,0.65,0.38,0.11,0.13
26040,"Austin-Round Rock-Georgetown, TX",4.0,2.42,0.5,0.68,0.27,0.92,"624,985",0.06,0.1,0.58,0.71,0.74,0.23,0.13,0.07
26041,"Bakersfield, CA",4.0,3.14,0.44,0.78,0.18,0.77,"217,085",0.05,0.11,0.57,0.58,0.51,0.49,0.08,0.15
26042,"Baltimore-Columbia-Towson, MD",4.0,2.48,0.47,0.68,0.28,0.92,"672,232",0.07,0.12,0.39,0.67,0.74,0.36,0.05,0.08
26043,"Battle Creek, MI",,,,,,,,,,,,,,,
26044,"Beaumont-Port Arthur, TX",,,,,,,,,,,,,,,
26045,"Beckley, WV",,,,,,,,,,,,,,,
26046,"Binghamton, NY",,,,,,,,,,,,,,,
26047,"Birmingham-Hoover, AL",3.0,2.5,0.47,0.75,0.17,0.9,"264,679",0.06,0.15,0.58,0.61,0.69,0.35,0.08,0.1
26048,"Bloomington, IL",,,,,,,,,,,,,,,
26049,"Boston-Cambridge-Newton, MA-NH",4.0,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
26050,"Boulder, CO",,,,,,,,,,,,,,,
26051,"Bremerton-Silverdale-Port Orchard, WA",,,,,,,,,,,,,,,
26052,"Brunswick, GA",,,,,,,,,,,,,,,
26053,"Buffalo-Cheektowaga, NY",4.0,2.25,0.44,0.68,0.27,0.93,"260,535",0.06,0.14,0.36,0.63,0.7,0.44,0.03,0.1
26054,"Boston-Cambridge-Newton, MA-NH",4.0,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
26055,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
26056,"Cape Coral-Fort Myers, FL",4.0,2.43,0.53,0.75,0.21,0.9,"147,478",0.08,0.14,0.39,0.53,0.61,0.45,0.11,0.09
26057,"Cape Girardeau, MO-IL",,,,,,,,,,,,,,,
26058,"Casper, WY",,,,,,,,,,,,,,,
26059,"Cedar Rapids, IA",,,,,,,,,,,,,,,
26060,"Charleston, WV",,,,,,,,,,,,,,,
26061,"Charlotte-Concord-Gastonia, NC-SC",4.0,2.54,0.49,0.75,0.19,0.9,"673,803",0.06,0.11,0.57,0.67,0.69,0.31,0.1,0.08
26062,"Chicago-Naperville-Arlington Heights, IL",,,,,,,,,,,,,,,
26063,"Cleveland-Elyria, OH",4.0,2.28,0.45,0.72,0.22,0.92,"459,168",0.06,0.15,0.38,0.64,0.68,0.4,0.05,0.09
26064,"College Station-Bryan, TX",,,,,,,,,,,,,,,
26065,"Colorado Springs, CO",4.0,2.52,0.53,0.66,0.29,0.95,"183,294",0.15,0.13,0.35,0.67,0.73,0.35,0.07,0.06
26066,"Columbia, MO",,,,,,,,,,,,,,,
26067,"Columbus, GA-AL",,,,,,,,,,,,,,,
26068,"Columbus, OH",4.0,2.45,0.48,0.7,0.24,0.92,"530,168",0.06,0.12,0.48,0.67,0.7,0.33,0.08,0.09
26069,"Corpus Christi, TX",,,,,,,,,,,,,,,
26070,"Crestview-Fort Walton Beach-Destin, FL",,,,,,,,,,,,,,,
26071,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
26072,"Davenport-Moline-Rock Island, IA-IL",,,,,,,,,,,,,,,
26073,"Dayton, OH",,,,,,,,,,,,,,,
26074,"Decatur, AL",,,,,,,,,,,,,,,
26075,"Decatur, IL",,,,,,,,,,,,,,,
26076,"Deltona-Daytona Beach-Ormond Beach, FL",3.0,2.31,0.49,0.7,0.24,0.92,"131,589",0.1,0.18,0.39,0.52,0.6,0.43,0.13,0.08
26077,"Denver-Aurora-Lakewood, CO",4.0,2.47,0.49,0.72,0.22,0.92,"752,085",0.06,0.1,0.52,0.72,0.71,0.3,0.08,0.05
26078,"Des Moines-West Des Moines, IA",3.0,2.42,0.52,0.74,0.19,0.93,"173,385",0.06,0.11,0.48,0.71,0.75,0.32,0.04,0.05
26079,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
26080,"Dothan, AL",,,,,,,,,,,,,,,
26081,"Dover, DE",,,,,,,,,,,,,,,
26082,"Dubuque, IA",,,,,,,,,,,,,,,
26083,"Duluth, MN-WI",,,,,,,,,,,,,,,
26084,"Durham-Chapel Hill, NC",4.0,2.36,0.46,0.59,0.37,0.91,"166,768",0.06,0.12,0.57,0.62,0.72,0.31,0.1,0.09
26085,"Dutchess County-Putnam County, NY",,,,,,,,,,,,,,,
26086,"East Stroudsburg, PA",,,,,,,,,,,,,,,
26087,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
26088,"Eugene-Springfield, OR",,,,,,,,,,,,,,,
26089,"Fayetteville-Springdale-Rogers, AR",3.0,2.65,0.52,0.73,0.22,0.89,"141,373",0.07,0.1,0.71,0.66,0.64,0.34,0.11,0.07
26090,"Flint, MI",,,,,,,,,,,,,,,
26091,"Florence-Muscle Shoals, AL",,,,,,,,,,,,,,,
26092,"Fort Collins, CO",,,,,,,,,,,,,,,
26093,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",,,,,,,,,,,,,,,
26094,"Fort Smith, AR-OK",,,,,,,,,,,,,,,
26095,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
26096,"Gadsden, AL",,,,,,,,,,,,,,,
26097,"Gainesville, GA",,,,,,,,,,,,,,,
26098,"Gettysburg, PA",,,,,,,,,,,,,,,
26099,"Grand Rapids-Kentwood, MI",3.0,2.59,0.52,0.74,0.2,0.92,"260,321",0.05,0.11,0.5,0.67,0.75,0.33,0.05,0.06
26100,"Greeley, CO",,,,,,,,,,,,,,,
26101,"Greensboro-High Point, NC",4.0,2.46,0.46,0.67,0.28,0.89,"188,414",0.06,0.14,0.52,0.62,0.66,0.36,0.1,0.11
26102,"Greenville, NC",,,,,,,,,,,,,,,
26103,"Gulfport-Biloxi, MS",,,,,,,,,,,,,,,
26104,"Hagerstown-Martinsburg, MD-WV",,,,,,,,,,,,,,,
26105,"Harrisburg-Carlisle, PA",4.0,2.36,0.51,0.77,0.19,0.92,"131,739",0.08,0.12,0.45,0.64,0.75,0.36,0.05,0.07
26106,"Harrisonburg, VA",,,,,,,,,,,,,,,
26107,"Hickory-Lenoir-Morganton, NC",,,,,,,,,,,,,,,
26108,"Homosassa Springs, FL",,,,,,,,,,,,,,,
26109,"Hot Springs, AR",,,,,,,,,,,,,,,
26110,"Houston-The Woodlands-Sugar Land, TX",3.0,2.74,0.51,0.75,0.21,0.84,"1,808,878",0.05,0.1,0.57,0.66,0.6,0.28,0.19,0.11
26111,"Huntsville, AL",4.0,2.38,0.53,0.68,0.26,0.91,"117,812",0.11,0.13,0.43,0.63,0.8,0.27,0.08,0.07
26112,"Jackson, MS",3.0,2.48,0.43,0.74,0.21,0.89,"142,828",0.06,0.16,0.57,0.59,0.61,0.37,0.13,0.14
26113,"Jacksonville, FL",3.0,2.49,0.48,0.76,0.19,0.92,"380,009",0.12,0.13,0.39,0.63,0.7,0.34,0.1,0.09
26114,"Janesville-Beloit, WI",,,,,,,,,,,,,,,
26115,"Jefferson City, MO",,,,,,,,,,,,,,,
26116,"Kalamazoo-Portage, MI",,,,,,,,,,,,,,,
26117,"Kankakee, IL",,,,,,,,,,,,,,,
26118,"Kansas City, MO-KS",3.0,2.46,0.52,0.77,0.17,0.93,"517,202",0.07,0.12,0.52,0.68,0.75,0.28,0.09,0.07
26119,"Kennewick-Richland, WA",,,,,,,,,,,,,,,
26120,"Killeen-Temple, TX",,,,,,,,,,,,,,,
26121,"Kingsport-Bristol, TN-VA",,,,,,,,,,,,,,,
26122,"Kingston, NY",,,,,,,,,,,,,,,
26123,"Knoxville, TN",4.0,2.42,0.49,0.68,0.26,0.91,"204,937",0.08,0.15,0.57,0.6,0.69,0.37,0.09,0.08
26124,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
26125,"Lake Havasu City-Kingman, AZ",,,,,,,,,,,,,,,
26126,"Lakeland-Winter Haven, FL",3.0,2.68,0.46,0.8,0.16,0.88,"170,379",0.07,0.14,0.54,0.56,0.58,0.4,0.14,0.12
26127,"Lansing-East Lansing, MI",3.0,2.37,0.45,0.55,0.4,0.94,"131,186",0.06,0.15,0.45,0.62,0.75,0.36,0.05,0.07
26128,"Laredo, TX",,,,,,,,,,,,,,,
26129,"Las Vegas-Henderson-Paradise, NV",4.0,2.66,0.44,0.76,0.21,0.87,"551,521",0.08,0.13,0.45,0.64,0.61,0.37,0.13,0.12
26130,"Lawrence, KS",,,,,,,,,,,,,,,
26131,"Lawton, OK",,,,,,,,,,,,,,,
26132,"Lima, OH",,,,,,,,,,,,,,,
26133,"Little Rock-North Little Rock-Conway, AR",3.0,2.39,0.51,0.74,0.2,0.93,"183,176",0.08,0.15,0.56,0.63,0.66,0.39,0.08,0.1
26134,"Los Angeles-Long Beach-Glendale, CA",,,,,,,,,,,,,,,
26135,"Lubbock, TX",,,,,,,,,,,,,,,
26136,"Macon-Bibb County, GA",,,,,,,,,,,,,,,
26137,"Manhattan, KS",,,,,,,,,,,,,,,
26138,"Mansfield, OH",,,,,,,,,,,,,,,
26139,"McAllen-Edinburg-Mission, TX",3.0,3.25,0.48,0.81,0.15,0.69,"218,483",0.03,0.12,0.67,0.57,0.36,0.39,0.31,0.26
26140,"Memphis, TN-MS-AR",4.0,2.53,0.42,0.77,0.17,0.9,"327,202",0.07,0.13,0.64,0.64,0.64,0.37,0.11,0.13
26141,"Miami-Miami Beach-Kendall, FL",,,,,,,,,,,,,,,
26142,"Midland, TX",,,,,,,,,,,,,,,
26143,"Milwaukee-Waukesha, WI",3.0,2.37,0.47,0.76,0.2,0.93,"364,582",0.05,0.12,0.49,0.66,0.7,0.36,0.06,0.09
26144,"Minneapolis-St. Paul-Bloomington, MN-WI",4.0,2.5,0.5,0.72,0.21,0.95,"865,454",0.06,0.11,0.39,0.71,0.78,0.31,0.04,0.05
26145,"Mobile, AL",,,,,,,,,,,,,,,
26146,"Modesto, CA",4.0,3.14,0.47,0.77,0.19,0.78,"132,786",0.04,0.12,0.53,0.62,0.57,0.44,0.08,0.11
26147,"Monroe, MI",,,,,,,,,,,,,,,
26148,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
26149,"Morristown, TN",,,,,,,,,,,,,,,
26150,"Mount Vernon-Anacortes, WA",,,,,,,,,,,,,,,
26151,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3.0,2.39,0.52,0.74,0.21,0.93,"96,690",0.11,0.18,0.44,0.52,0.6,0.48,0.12,0.08
26152,"Naples-Marco Island, FL",,,,,,,,,,,,,,,
26153,"Nashville-Davidson--Murfreesboro--Franklin, TN",3.0,2.49,0.51,0.72,0.22,0.92,"506,130",0.06,0.11,0.58,0.68,0.74,0.29,0.09,0.07
26154,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
26155,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
26156,"New Bern, NC",,,,,,,,,,,,,,,
26157,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
26158,"North Port-Sarasota-Bradenton, FL",4.0,2.31,0.54,0.75,0.19,0.94,"146,800",0.09,0.15,0.34,0.53,0.67,0.43,0.11,0.06
26159,"Oakland-Hayward-Berkeley, CA",,,,,,,,,,,,,,,
26160,"Odessa, TX",,,,,,,,,,,,,,,
26161,"Oklahoma City, OK",4.0,2.49,0.5,0.72,0.23,0.9,"355,303",0.08,0.15,0.61,0.65,0.67,0.35,0.12,0.1
26162,"Omaha-Council Bluffs, NE-IA",3.0,2.48,0.51,0.73,0.2,0.93,"230,593",0.09,0.12,0.56,0.7,0.74,0.3,0.07,0.07
26163,"Orlando-Kissimmee-Sanford, FL",4.0,2.67,0.47,0.7,0.25,0.91,"670,108",0.07,0.12,0.47,0.64,0.66,0.32,0.12,0.1
26164,"Oxnard-Thousand Oaks-Ventura, CA",4.0,2.96,0.49,0.7,0.26,0.85,"192,533",0.06,0.12,0.47,0.65,0.66,0.37,0.09,0.06
26165,"Palm Bay-Melbourne-Titusville, FL",4.0,2.4,0.49,0.72,0.25,0.94,"120,289",0.14,0.17,0.34,0.56,0.68,0.39,0.11,0.07
26166,"Panama City, FL",,,,,,,,,,,,,,,
26167,"Pensacola-Ferry Pass-Brent, FL",4.0,2.47,0.47,0.72,0.23,0.92,"112,676",0.16,0.17,0.38,0.61,0.66,0.39,0.13,0.11
26168,"Peoria, IL",,,,,,,,,,,,,,,
26169,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
